timestamp	phase	worker	class_name	block	seed	task	sub_task	steps	termination_status	source	agent_dir	agent_pos	reward	action_space	observation_space
20200225T175821.584115	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1973013499	102	0	50	DONE	NEXT	0	[4 4]	0.6875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175821.719550	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3506335044	105	0	74	DONE	NEXT	1	[4 4]	0.5375000000000001	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175821.751298	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3372559711	107	0	17	DONE	NEXT	1	[4 4]	0.89375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175821.786358	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1684121654	108	0	19	DONE	NEXT	0	[4 4]	0.88125	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175822.047342	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3058955278	109	0	18	DONE	NEXT	1	[4 4]	0.8875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175822.065853	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2867002391	110	0	8	DONE	NEXT	1	[4 4]	0.95	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175822.094747	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1933746498	111	0	10	DONE	NEXT	1	[4 4]	0.9375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175822.152436	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2812868663	113	0	29	DONE	NEXT	1	[4 4]	0.81875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175822.195081	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	643606302	116	0	21	DONE	NEXT	1	[4 4]	0.86875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175822.283406	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	684896378	118	0	48	DONE	NEXT	0	[4 4]	0.7	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175822.332937	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1081105401	120	0	24	DONE	NEXT	1	[4 4]	0.85	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175822.358293	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3955253526	122	0	8	DONE	NEXT	0	[4 4]	0.95	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175822.702356	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3468456486	124	0	58	DONE	NEXT	1	[4 4]	0.6375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175822.723345	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	4267443899	127	0	7	DONE	NEXT	1	[4 4]	0.95625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175822.761333	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	672873141	129	0	20	DONE	NEXT	1	[4 4]	0.875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175822.786503	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	951383269	130	0	11	DONE	NEXT	1	[4 4]	0.93125	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175822.809987	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	826264219	131	0	10	DONE	NEXT	1	[4 4]	0.9375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175822.910466	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3748395898	132	0	43	DONE	NEXT	1	[4 4]	0.73125	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175823.003465	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	949533517	136	0	44	DONE	NEXT	1	[4 4]	0.725	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175823.331088	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	4158010528	138	0	73	DONE	NEXT	1	[4 4]	0.54375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175823.362029	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	955064988	141	0	16	DONE	NEXT	0	[4 4]	0.9	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175823.471136	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2172599817	142	0	57	DONE	NEXT	1	[4 4]	0.64375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175823.492352	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3108997875	146	0	11	DONE	NEXT	1	[4 4]	0.93125	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175823.508130	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1089568349	147	0	7	DONE	NEXT	1	[4 4]	0.95625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175823.536408	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3797344402	148	0	12	DONE	NEXT	0	[4 4]	0.925	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175823.552064	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	4096239622	150	0	7	DONE	NEXT	1	[4 4]	0.95625	Discrete(7)	Dict(image:Box(7, 7, 3))
