sg_name	agent_config	run_id	perf_recovery	perf_maintenance_mrtlp	perf_maintenance_mrlep	forward_transfer_contrast	backward_transfer_contrast	forward_transfer_ratio	backward_transfer_ratio	ste_rel_perf	sample_efficiency	complexity	difficulty	metrics_column	min	max	num_lx	num_ex
eval	agent_config-0	2-intermediate_2-medium_example-1607409562-2830288	-0.0	3.995194195948199	3.4022546784516003	1.0	0.037684364254367955	0.7303210038881798	1.0784599764651226	1.1675094198236433	0.9136831738443312	2-intermediate	2-medium	performance	0.0	100.0	1200	720
eval	agent_config-0	2-intermediate_2-medium_example-1607409565-1695743	-0.0	3.364104527783809	2.478105715876486	1.0	0.021155288627793745	1.9143751631370922	1.043833845668247	1.225704735987128	0.9135598089276993	2-intermediate	2-medium	performance	0.0	100.0	1200	720
eval	agent_config-0	2-intermediate_2-medium_example-1607409567-97757	-0.0	3.750435670237953	3.087704683920388	1.0	0.019164005226653964	1.4465580712416442	1.0399885249977228	1.1530077143780095	0.9123531186013684	2-intermediate	2-medium	performance	0.0	100.0	1200	720
eval	agent_config-0	2-intermediate_2-medium_example-1607409570-8370998	-0.0	4.571813076650547	4.188760513092717	1.0	0.03587700014081654	0.7422631109869035	1.074693194764135	1.1481490533858234	0.9136397267890545	2-intermediate	2-medium	performance	0.0	100.0	1200	720
eval	agent_config-0	2-intermediate_2-medium_example-1607409573-3776922	-0.0	4.803102708115948	3.467892241635577	1.0	0.04157003396336751	2.8692092492509356	1.0867805429090227	1.165652109786381	0.911867341389317	2-intermediate	2-medium	performance	0.0	100.0	1200	720
eval	agent_config-0	2-intermediate_3-hard_example-1607409824-8354473	-0.0	7.422676296694332	6.066308265065173	1.0	0.041399064169234716	2.6199239211655083	1.086802884215735	1.0600926117996188	0.8956528246902098	2-intermediate	3-hard	performance	0.0	100.0	1200	720
eval	agent_config-0	2-intermediate_3-hard_example-1607409831-1105785	-0.0	4.154714255134361	2.270939596919817	1.0	0.02063739416374536	2.1239034932560643	1.0425618222648754	0.9743082563998043	0.9048481236171351	2-intermediate	3-hard	performance	0.0	100.0	1200	720
eval	agent_config-0	2-intermediate_3-hard_example-1607409834-626284	-10.0	3.2147970336262177	1.3130019755338924	1.0	0.04163132547705266	3.5259750092224666	1.0898180563420508	0.9299599182385346	0.8776561412756798	2-intermediate	3-hard	performance	0.0	100.0	1200	720
eval	agent_config-0	2-intermediate_3-hard_example-1607409844-999479	-0.0	4.510728397210616	1.9682590964994258	1.0	-0.012851720437488818	1.2538727496068764	0.9752079886840577	0.8823479565458376	0.8824546347362381	2-intermediate	3-hard	performance	0.0	100.0	1200	720
eval	agent_config-0	2-intermediate_3-hard_example-1607409847-8015404	-0.0	5.69401135344183	4.159838060338328	1.0	0.04934261887482401	2.2418270865602783	1.1039716494350802	1.129901726792135	0.9112383095718091	2-intermediate	3-hard	performance	0.0	100.0	1200	720
