block_num	regime_num	exp_num	status	timestamp	worker	agent_dir	task_name	sub_task	source	steps	reward	seed	observation_space	action_space	agent_pos
0	0	717	DONE	20200924T002249.959545	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	40	0.8571428571428572	1784596147	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	718	DONE	20200924T002250.216545	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	48	0.8285714285714285	1786638870	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	719	DONE	20200924T002250.288544	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	17	0.9392857142857143	3042211398	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	720	DONE	20200924T002250.524544	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	82	0.7071428571428571	1261237360	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	721	DONE	20200924T002250.605545	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	22	0.9214285714285715	2428634712	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	722	DONE	20200924T002250.694544	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	23	0.9178571428571428	2637763381	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	723	DONE	20200924T002250.780543	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	24	0.9142857142857143	3079854764	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	724	DONE	20200924T002251.066588	env-0	0	minigridkit_minigridkit_minigridlava2	0	NEXT	57	0	3844527838	Dict(image:Box(7, 7, 3))	Discrete(7)	[3 5]
0	0	725	DONE	20200924T002251.231586	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	54	0.8071428571428572	3301904214	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	726	DONE	20200924T002251.336586	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	28	0.9	1032142308	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	727	DONE	20200924T002251.425586	env-0	0	minigridkit_minigridkit_minigridlava2	0	NEXT	26	0.9071428571428571	353880189	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
